time,ticker,action,price,size,profit
2024-12-23 17:10:00,AAPL_NASDAQ,short,254.85,117.71630370806356,
2024-12-23 17:50:02,NVDA_NASDAQ,short,138.42,216.73168617251844,
2024-12-23 18:39:59,AAPL_NASDAQ,close,254.27,117.71630370806356,68.275456150675
2024-12-23 20:35:00,NVDA_NASDAQ,close,139.05,216.73168617251844,-136.5409622886918
2024-12-24 17:14:58,AAPL_NASDAQ,short,257.34,116.57729074376313,
2024-12-26 14:34:58,AAPL_NASDAQ,close,259.7,116.57729074376313,-275.1224061552826
2024-12-26 20:40:00,JPM_NYSE,short,242.55,123.68583797155225,
2024-12-30 17:49:59,SNOW_NYSE,long,155.35,193.1123270035404,
2024-12-30 20:19:59,JPM_NYSE,close,240.63,123.68583797155225,237.47680890538228
2024-12-30 21:00:01,NVO_NYSE,long,85.77,349.7726477789437,
2024-12-31 15:34:57,SNOW_NYSE,close,154.17,193.1123270035404,-227.872545864179
2025-01-02 15:40:00,NVO_NYSE,close,88.07,349.7726477789437,804.4770898915694
2025-01-06 20:19:59,TSM_NYSE,short,220.66,135.95576905646698,
2025-01-07 16:14:58,META_NASDAQ,short,617.33,48.5963747104466,
2025-01-07 20:55:01,TSLA_NASDAQ,long,391.49,76.63030984188613,
2025-01-08 15:24:58,META_NASDAQ,close,611.98,48.5963747104466,259.9906047008904
2025-01-08 16:00:01,TSM_NYSE,close,207.77,135.95576905646698,1752.4698631378574
